Year,Industry,Sector,Value,Country,Metric
2027,Food,Dairy & Soy Food,361.9975288483068,Country_Bolivia,Volume M Liters
2027,Food,Fish & Seafood,-,Country_Bolivia,Volume M Liters
2027,Food,Ice Cream,-,Country_Bolivia,Volume M Liters
2027,Food,Meat,-,Country_Bolivia,Volume M Liters
2027,Food,Meat Substitutes,-,Country_Bolivia,Volume M Liters
2027,Food,Oils and Fats,-,Country_Bolivia,Volume M Liters
2027,Food,Other Canned food,-,Country_Bolivia,Volume M Liters
2027,Food,Other Dried food,-,Country_Bolivia,Volume M Liters
2027,Food,Other Frozen Foods,-,Country_Bolivia,Volume M Liters
2027,Food,Pasta & Noodles,-,Country_Bolivia,Volume M Liters
2027,Food,Prepared Meals,-,Country_Bolivia,Volume M Liters
2027,Food,Savory & Deli Foods,-,Country_Bolivia,Volume M Liters
2027,Food,Savory Snacks,-,Country_Bolivia,Volume M Liters
2027,Food,"Seasonings, Dressings & Sauces",-,Country_Bolivia,Volume M Liters
2027,Food,Soups,-,Country_Bolivia,Volume M Liters
2027,Food,Syrups & Spreads,-,Country_Bolivia,Volume M Liters
2027,Fresh Food,Fruits & Vegetables,-,Country_Bolivia,Volume M Liters
2027,Household Products,Household Products,45.90108755737669,Country_Bolivia,Volume M Liters
2027,Non-Alcoholic Beverages,Hot Drinks,239.61783462471732,Country_Bolivia,Volume M Liters
2027,Non-Alcoholic Beverages,Soft Drinks,2110.6854423009954,Country_Bolivia,Volume M Liters
